name,features,cuisines,meals,special meals,official_description,rating,street,country,region,coords,image
Duck Tale,"Reservations, Seating, Serves Alcohol, Table Service, ","Asian, ","Dinner, Lunch, ","Vegetarian Friendly, ",,4.0,Rua da Escola Politecnica 253,Portugal,Central Portugal,"{'latitude': '38.719723', 'longitude': '-9.153978'}",https://media-cdn.tripadvisor.com/media/photo-o/0c/c9/30/5c/duck-tale.jpg
Peixe Azul,"Reservations, Seating, Wheelchair Accessible, Serves Alcohol, Table Service, Takeout, ","Portuguese, European, ","Lunch, Dinner, ",,,4.5,Praceta A a Avenida Cidade de Lourenco Marques 530,Portugal,Central Portugal,"{'latitude': '38.76389', 'longitude': '-9.119796'}",https://media-cdn.tripadvisor.com/media/photo-o/10/cd/d7/94/photo0jpg.jpg
Piteus - Restaurante Bar,"Reservations, Outdoor Seating, Seating, Wheelchair Accessible, Serves Alcohol, Table Service, Television, ","European, Portuguese, ","Lunch, Dinner, ",,"Located in Marina South Park Expo , come and enjoy this lovely place , all the glamor that you 'll provide. At the waterfront, we offer you the quality of our Portuguese and Italian cuisine , always with the assurance of our sympathy and professionalism , bring your friends ",3.5,Passeio do Neptuno Loja 18,Portugal,Central Portugal,"{'latitude': '38.756992', 'longitude': '-9.093901'}",https://media-cdn.tripadvisor.com/media/photo-o/06/e2/a4/a6/piteus-restaurante-bar.jpg
Wanhao,,"Seafood, ",,,,4.0,Avenida Almirante Reis n' '64A Av. Almirante Reis,Portugal,Central Portugal,"{'latitude': '38.72246', 'longitude': '-9.1355'}",https://media-cdn.tripadvisor.com/media/photo-o/09/a8/c6/bc/getlstd-property-photo.jpg
Pastelaria Versailles,"Takeout, Seating, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Free Wifi, Accepts Credit Cards, Table Service, Street Parking, Wine and Beer, ","Cafe, European, Portuguese, ","Breakfast, Lunch, Late Night, ","Vegetarian Friendly, ","Lisbon is a perfect city to indulge your sweet tooth. When the Portuguese like something it shows, as evidenced by the ubiquitous use of azulejos and the caf",4.5,Avenida da Republica 15A,Portugal,Central Portugal,"{'latitude': '38.735504', 'longitude': '-9.145633'}",https://media-cdn.tripadvisor.com/media/photo-o/17/73/8d/30/chocolate-croissants.jpg
Novo Seculo,"Seating, Table Service, Reservations, Wheelchair Accessible, ","Asian, Chinese, ","Lunch, Dinner, ",,,4.0,Rua Fernando Namora 34,Portugal,Central Portugal,"{'latitude': '38.76022', 'longitude': '-9.17619'}",https://media-cdn.tripadvisor.com/media/photo-o/0a/b1/de/fe/interior-do-restaurante.jpg
Raus Cafe,,"Brazilian, European, Portuguese, South American, ",,,,0.0,"Alameda Antonio Sergio, 12 D Alges",Portugal,Central Portugal,"{'latitude': '38.71387', 'longitude': '-9.232344'}",
Mezze,"Outdoor Seating, Seating, Wheelchair Accessible, Serves Alcohol, Table Service, ","Middle Eastern, Mediterranean, ","Lunch, Dinner, ","Vegetarian Friendly, Vegan Options, Gluten Free Options, ",,4.5,R. Angela Pinto 40D Loja 22/23 - Mercado de Arroios,Portugal,Central Portugal,"{'latitude': '38.734955', 'longitude': '-9.132488'}",https://media-cdn.tripadvisor.com/media/photo-o/1c/21/f8/3f/um-mezze-na-mesa.jpg
Fruta da Vila,,"Portuguese, European, ","Breakfast, Drinks, Lunch, Dinner, Brunch, ",,"Simple place for simple people. Fruta da Vila it is a very small spot in Alfama. We serve fresh juices made everyday even is possible to your own. Salads, fresh pastery....",5.0,"Travessa Sao Joao da Praca 40 Travessa São João da Praça, 36",Portugal,Central Portugal,"{'latitude': '38.709663', 'longitude': '-9.130546'}",https://media-cdn.tripadvisor.com/media/photo-o/18/6b/35/1f/photo1jpg.jpg
Gosta do Castelo,"Reservations, Seating, Serves Alcohol, Table Service, Digital Payments, Free Wifi, Accepts Credit Cards, Dog Friendly, ","Mediterranean, European, Portuguese, ","Lunch, Dinner, ","Vegetarian Friendly, Vegan Options, ","Lisbon has attracted visitors to its colorful streets for centuries. Whether you only have 24 hours in the Portuguese capital or are just searching for a perfectly planned day, look no further. Take advantage of this full-day itinerary ",4.0,Costa do Castelo 136,Portugal,Central Portugal,"{'latitude': '38.714714', 'longitude': '-9.131789'}",https://media-cdn.tripadvisor.com/media/photo-o/18/1a/23/10/cosy-and-trendy-place.jpg
